role_id,Goal Title,Goal Description,category_id,Impact Score,Goal Type
1,Plan a family weekend outing.,Plan a family weekend outing.,1,10,Long-Term
1,Host a family dinner night every week.,Host a family dinner night every week.,1,9,Long-Term
1,Create a family budget and stick to it.,Create a family budget and stick to it.,1,9,Short-Term
1,Start a family book club.,Start a family book club.,1,10,Short-Term
1,Volunteer together as a family.,Volunteer together as a family.,1,8,Long-Term
1,Complete a personal development course.,Complete a personal development course.,2,7,Long-Term
1,Read a new self-help book each month.,Read a new self-help book each month.,2,9,Long-Term
1,Set and achieve a personal fitness goal.,Set and achieve a personal fitness goal.,2,10,Short-Term
1,Learn a new language or skill.,Learn a new language or skill.,2,8,Long-Term
1,Practice mindfulness or meditation daily.,Practice mindfulness or meditation daily.,2,7,Long-Term
1,Exercise regularly and maintain a fitness routine.,Exercise regularly and maintain a fitness routine.,3,7,Long-Term
1,Eat a balanced and healthy diet.,Eat a balanced and healthy diet.,3,10,Short-Term
1,Get regular medical check-ups.,Get regular medical check-ups.,3,9,Short-Term
1,Practice daily mental health exercises.,Practice daily mental health exercises.,3,9,Short-Term
1,Ensure proper sleep hygiene.,Ensure proper sleep hygiene.,3,10,Short-Term
1,Attend a professional workshop or seminar.,Attend a professional workshop or seminar.,4,8,Long-Term
1,Achieve a new certification relevant to your field.,Achieve a new certification relevant to your field.,4,7,Long-Term
1,Set and work towards career advancement goals.,Set and work towards career advancement goals.,4,7,Long-Term
1,Improve your networking skills by attending industry events.,Improve your networking skills by attending industry events.,4,8,Short-Term
1,Develop a new skill or competency.,Develop a new skill or competency.,4,9,Short-Term
1,Create and follow a personal budget.,Create and follow a personal budget.,5,10,Short-Term
1,Start an emergency savings fund.,Start an emergency savings fund.,5,8,Short-Term
1,Invest in long-term financial growth.,Invest in long-term financial growth.,5,10,Short-Term
1,Pay off any outstanding debt.,Pay off any outstanding debt.,5,10,Long-Term
1,Plan for future financial milestones like retirement.,Plan for future financial milestones like retirement.,5,10,Long-Term
1,Volunteer for a local charity or cause.,Volunteer for a local charity or cause.,6,9,Long-Term
1,Participate in a community clean-up event.,Participate in a community clean-up event.,6,10,Long-Term
1,Donate to a cause you care about.,Donate to a cause you care about.,6,8,Short-Term
1,Support a local business or initiative.,Support a local business or initiative.,6,9,Long-Term
1,Get involved in local government or activism.,Get involved in local government or activism.,6,10,Long-Term
1,Plan a leisure trip or vacation.,Plan a leisure trip or vacation.,7,10,Short-Term
1,Engage in a new hobby or pastime.,Engage in a new hobby or pastime.,7,10,Short-Term
1,Take time off to relax and unwind.,Take time off to relax and unwind.,7,10,Long-Term
1,Explore local cultural or recreational activities.,Explore local cultural or recreational activities.,7,9,Long-Term
1,Spend time outdoors or in nature.,Spend time outdoors or in nature.,7,9,Short-Term
2,Plan a family weekend outing.,Plan a family weekend outing.,1,10,Short-Term
2,Host a family dinner night every week.,Host a family dinner night every week.,1,8,Short-Term
2,Create a family budget and stick to it.,Create a family budget and stick to it.,1,10,Long-Term
2,Start a family book club.,Start a family book club.,1,8,Long-Term
2,Volunteer together as a family.,Volunteer together as a family.,1,9,Long-Term
2,Complete a personal development course.,Complete a personal development course.,2,8,Short-Term
2,Read a new self-help book each month.,Read a new self-help book each month.,2,9,Short-Term
2,Set and achieve a personal fitness goal.,Set and achieve a personal fitness goal.,2,8,Long-Term
2,Learn a new language or skill.,Learn a new language or skill.,2,9,Short-Term
2,Practice mindfulness or meditation daily.,Practice mindfulness or meditation daily.,2,10,Long-Term
2,Exercise regularly and maintain a fitness routine.,Exercise regularly and maintain a fitness routine.,3,7,Long-Term
2,Eat a balanced and healthy diet.,Eat a balanced and healthy diet.,3,10,Short-Term
2,Get regular medical check-ups.,Get regular medical check-ups.,3,8,Long-Term
2,Practice daily mental health exercises.,Practice daily mental health exercises.,3,8,Long-Term
